"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"기아","K5 1.6 터보 프레스티지",2080,"2020.07",1598,27437,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 AWD",4290,"2020.09",3470,50274,1,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD",7990,"2022.11",3470,24667,1,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",4850,"2021.04",2497,41500,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.5 터보 AWD 5인승",5890,"2020.11",3470,41226,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD 스포츠팩",6150,"2022.11",2497,32159,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",4500,"2020.07",2497,30385,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.5 터보 AWD 5인승",5670,"2021.12",3470,68948,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 2.5 터보 5인승",6299,"2022.01",2497,25241,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.5 터보 AWD  6인승",7290,"2022.07",3470,11187,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
